title,type,release_year,runtime,seasons,imdb_score,imdb_votes,lead_production,production_countries_cnt,lead_genres,genres_cnt,movie_cluster,dbscan_clusters
The Days of Noah: Judgment Hour,MOVIE,2019,89,0.0,7.6,23.0,US,1,documentation,1,11,11
The Book of Job,MOVIE,2019,90,0.0,5.2,59.0,,1,comedy,2,67,67
Sniper Corpse,MOVIE,2019,82,0.0,4.1,82.0,GB,1,horror,1,42,42
Like Blood,MOVIE,2019,81,0.0,6.6,15.0,FR,2,crime,3,58,58
Mastermind,MOVIE,2019,95,0.0,5.2,401.0,,1,drama,2,20,20
Patra Vaitha Nerupondru,MOVIE,2020,134,0.0,6.6,119.0,IN,1,thriller,3,60,60
Inappropriate,MOVIE,2019,61,0.0,6.1,24.0,,1,comedy,1,67,67
Ragala 24 Gantallo,MOVIE,2019,131,0.0,5.1,179.0,IN,1,thriller,1,60,60
Love Lives Here,MOVIE,2019,95,0.0,7.3,52.0,ZA,1,comedy,3,-1,-1
Jack & Daniel,MOVIE,2019,156,0.0,4.6,698.0,IN,1,action,3,59,59
Good Friday,MOVIE,2020,83,0.0,6.1,464.0,US,1,drama,1,5,5
One of the Good Ones,MOVIE,2019,80,0.0,5.9,118.0,US,1,drama,2,5,5
America's Forgotten,MOVIE,2020,85,0.0,6.5,196.0,,1,documentation,1,143,143
Onirica,MOVIE,2019,98,0.0,4.3,26.0,,1,crime,1,179,179
Finding Jay,MOVIE,2019,126,0.0,3.7,18.0,,1,documentation,1,143,143
Threebound,MOVIE,2019,103,0.0,7.3,82.0,US,1,romance,2,1,1
Charlene,MOVIE,2020,56,0.0,7.6,6.0,,1,drama,1,20,20
Kunal Rao: Done,MOVIE,2019,52,0.0,6.1,464.0,,1,comedy,1,67,67
Alone Wolf,MOVIE,2020,100,0.0,4.2,197.0,US,1,thriller,1,3,3
"Willie, Jamaley & The Cacacoon",MOVIE,2020,71,0.0,5.1,9.0,US,1,comedy,1,2,2
Bornoporichoy: Grammar Of Death,MOVIE,2019,101,0.0,5.2,433.0,IN,1,thriller,1,60,60
"Love, Repeat",MOVIE,2020,77,0.0,4.0,131.0,IN,1,romance,4,72,72
MamÃ¡ al volante,MOVIE,2019,90,0.0,3.2,34.0,CO,1,comedy,1,-1,-1
Chickens Blood,MOVIE,2019,90,0.0,3.7,27.0,US,1,horror,1,7,7
Iberion,MOVIE,2019,73,0.0,5.1,61.0,ES,1,comedy,2,54,54
Local Boy,MOVIE,2020,142,0.0,6.1,464.0,,1,action,2,57,57
AB aani CD,MOVIE,2020,120,0.0,6.1,464.0,,1,,1,13,13
Writing Kim,MOVIE,2020,78,0.0,6.4,22.0,,1,drama,2,20,20
Aravind SA - I Was Not Ready Da,MOVIE,2020,75,0.0,6.1,464.0,IN,1,comedy,1,18,18
Girlz,MOVIE,2019,153,0.0,6.1,464.0,IN,1,drama,2,40,40
Petromax,MOVIE,2019,128,0.0,5.3,385.0,IN,1,horror,2,146,146
Rohan Joshi: Wake N' Bake,MOVIE,2020,57,0.0,7.3,560.0,,1,comedy,1,67,67
Bugged,MOVIE,2019,81,0.0,6.1,464.0,CN,1,animation,1,-1,-1
Familiar Environment,MOVIE,2019,93,0.0,5.3,15.0,BR,1,drama,1,99,99
Shiba Park,MOVIE,2019,99,0.0,5.9,25.0,JP,1,family,2,-1,-1
All That Matters,MOVIE,2020,83,0.0,5.5,28.0,US,1,drama,2,5,5
A Familiar Lie,MOVIE,2020,90,0.0,6.5,23.0,,1,drama,1,20,20
United States of Tents,MOVIE,2019,91,0.0,6.9,91.0,US,1,documentation,1,11,11
Passport to the World: Route 66,MOVIE,2019,64,0.0,5.6,35.0,,1,documentation,1,143,143
Breakneck,MOVIE,2019,102,0.0,6.1,464.0,,1,documentation,1,143,143
Love Aaj Kal Porshu,MOVIE,2020,105,0.0,6.1,464.0,IN,1,drama,1,40,40
The Waste Land,MOVIE,2020,130,0.0,6.1,464.0,CN,1,drama,1,103,103
Janamaithri,MOVIE,2019,122,0.0,6.4,425.0,IN,1,comedy,1,18,18
Jill-Michele MeleÃ¡n: White / Latina,MOVIE,2019,62,0.0,5.5,17.0,US,1,comedy,1,2,2
Time Enna Boss,SHOW,2020,22,1.0,6.0,615.0,IN,1,comedy,1,182,182
Yaanaa,MOVIE,2019,158,0.0,5.3,49.0,IN,1,drama,1,40,40
